Date,City,Temp,wind speed,pressure, Humidity
2022-05-19,Greater Noida,35.2,5.2,999.4,49
2022-05-20,Greater Noida,36.3,6,996.8,49
2022-05-21,Greater Noida,33.9,10.7,994.9,56
2022-05-22,Greater Noida,33.5,7.6,994.3,52
2022-05-23,Greater Noida,25.7,15,998.4,59
2022-05-24,Greater Noida,27.5,8.3,1003.2,59
2022-05-25,Greater Noida,29.6,5.5,1003.9,59
2022-05-26,Greater Noida,30.8,4.5,1001.9,59
2022-05-27,Greater Noida,31.9,9.1,999,59
2022-05-28,Greater Noida,33.5,7.1,997.1,55
2022-05-29,Greater Noida,33.5,9.1,997.5,59
2022-05-30,Greater Noida,31.4,8.8,998.9,52
2022-05-31,Greater Noida,31.9,5.3,998.9,49
2022-06-01,Greater Noida,33.7,7.8,999.4,46
2022-06-02,Greater Noida,34.2,6.6,998.9,38
2022-06-03,Greater Noida,34.6,7.6,998.2,28
2022-06-04,Greater Noida,35.3,7.2,998.4,28
2022-06-05,Greater Noida,35.9,11.2,998.6,26
2022-06-06,Greater Noida,35.6,8.5,997.9,30
2022-06-07,Greater Noida,36.1,13.9,997.3,32
2022-06-08,Greater Noida,36.8,14.8,997.1,43
2022-06-09,Greater Noida,36.2,10.8,996.1,46
2022-06-10,Greater Noida,36.7,14.7,996.8,52
2022-06-11,Greater Noida,36.9,15.5,997.3,52
2022-06-12,Greater Noida,37.2,12.4,998.5,56
2022-06-13,Greater Noida,37,15.1,1000.2,55
2022-06-14,Greater Noida,35.4,15.8,999.7,55
2022-06-15,Greater Noida,35.9,15.2,997.9,55
2022-06-16,Greater Noida,34.1,10.4,998.8,63
2022-06-17,Greater Noida,28.4,8.3,1000.1,59
2022-06-18,Greater Noida,29.3,7.6,1001.2,59
2022-06-19,Greater Noida,27.8,5.6,1000.5,63
2022-06-20,Greater Noida,29.8,5.8,999,63
2022-06-21,Greater Noida,29.1,6.5,998.1,59
2022-06-22,Greater Noida,30.3,6.6,1002.3,49
2022-06-23,Greater Noida,32.3,6.2,1002.7,41
2022-06-24,Greater Noida,33.2,5.4,1000.5,36
2022-06-25,Greater Noida,32.9,4,997.8,30
2022-06-26,Greater Noida,34.2,8.3,998.5,25
2022-06-27,Greater Noida,35.4,8.8,999.5,22
2022-06-28,Greater Noida,35.6,6.1,996.8,20
2022-06-29,Greater Noida,34.9,9.1,994.2,20
2022-06-30,Greater Noida,26.7,7.9,997.6,24
2022-07-01,Greater Noida,28.5,5,998.4,33
2022-07-02,Greater Noida,30.7,5.3,997,40
